code,region,income_group,table_name,notes
"PSE","Middle East & North Africa","Lower middle income","West Bank and Gaza",""
"ZAF","Sub-Saharan Africa","Upper middle income","Fiscal year end: March 31; reporting period for national accounts data: CY.","South Africa"
"GHA","Sub-Saharan Africa","Lower middle income","Ghana",""
"ISR","Middle East & North Africa","High income","Israel",""
"NCL","East Asia & Pacific","High income","New Caledonia",""
"THA","East Asia & Pacific","Upper middle income","Fiscal year end: September 30; reporting period for national accounts data: CY.","Thailand"
"MUS","Sub-Saharan Africa","Upper middle income","Mauritius",""
"VCT","Latin America & Caribbean","Upper middle income","St. Vincent and the Grenadines",""
"SAU","Middle East & North Africa","High income","Saudi Arabia",""
"SYC","Sub-Saharan Africa","High income","Seychelles",""
"NPL","South Asia","Low income","Fiscal year end: July 14; reporting period for national accounts data: FY.","Nepal"
"TON","East Asia & Pacific","Upper middle income","Tonga",""
"AUT","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Austria"
"TKM","Europe & Central Asia","Upper middle income","Turkmenistan",""
"MAR","Middle East & North Africa","Lower middle income","Morocco",""
"ABW","Latin America & Caribbean","High income","Aruba",""
"BHR","Middle East & North Africa","High income","Bahrain",""
"COD","Sub-Saharan Africa","Low income","Congo, Dem. Rep.",""
"PRY","Latin America & Caribbean","Upper middle income","Paraguay",""
"SYR","Middle East & North Africa","Low income","Syrian Arab Republic",""
"YEM","Middle East & North Africa","Low income","Yemen, Rep.",""
"SOM","Sub-Saharan Africa","Low income","Somalia",""
"PAK","South Asia","Lower middle income","Fiscal year end: June 30; reporting period for national accounts data: FY.","Pakistan"
"MYS","East Asia & Pacific","Upper middle income","Malaysia",""
"COL","Latin America & Caribbean","Upper middle income","Colombia",""
"CYM","Latin America & Caribbean","High income","Cayman Islands",""
"JPN","East Asia & Pacific","High income","Fiscal year end: March 31; reporting period for national accounts data: CY.","Japan"
"KWT","Middle East & North Africa","High income","Kuwait",""
"STP","Sub-Saharan Africa","Lower middle income","National account data were adjusted to reflect the new banknote (1 new Dobra STN = 1000 old Dobra STD)","São Tomé and Principe"
"GMB","Sub-Saharan Africa","Low income","Gambia, The",""
"AZE","Europe & Central Asia","Upper middle income","Azerbaijan",""
"BRA","Latin America & Caribbean","Upper middle income","Brazil",""
"TCA","Latin America & Caribbean","High income","Turks and Caicos Islands",""
"CHL","Latin America & Caribbean","High income","Chile",""
"USA","North America","High income","United States",""
"MKD","Europe & Central Asia","Upper middle income","North Macedonia",""
"IRQ","Middle East & North Africa","Upper middle income","Iraq",""
"MLT","Middle East & North Africa","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. National accounts data source from 1995 to 2015 is Eurostat; prior to 1995 is UN. The new reference year is 2010.","Malta"
"BHS","Latin America & Caribbean","High income","Bahamas, The",""
"ISL","Europe & Central Asia","High income","Iceland",""
"GRL","Europe & Central Asia","High income","Greenland",""
"OMN","Middle East & North Africa","High income","Oman",""
"MCO","Europe & Central Asia","High income","Monaco",""
"GEO","Europe & Central Asia","Upper middle income","Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas.","Georgia"
"CMR","Sub-Saharan Africa","Lower middle income","Cameroon",""
"MNG","East Asia & Pacific","Lower middle income","Mongolia",""
"NOR","Europe & Central Asia","High income","Norway",""
"MRT","Sub-Saharan Africa","Lower middle income","National account data were adjusted to reflect the new banknote (1 new ouguiya = 10 old ouguiya)","Mauritania"
"ERI","Sub-Saharan Africa","Low income","Eritrea",""
"SWZ","Sub-Saharan Africa","Lower middle income","Fiscal year end: March 31; reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.","Eswatini"
"KAZ","Europe & Central Asia","Upper middle income","Kazakhstan",""
"VNM","East Asia & Pacific","Lower middle income","Vietnam",""
"MOZ","Sub-Saharan Africa","Low income","Mozambique",""
"GRC","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Greece"
"HRV","Europe & Central Asia","High income","Croatia",""
"PER","Latin America & Caribbean","Upper middle income","Peru",""
"XKX","Europe & Central Asia","Upper middle income","Kosovo",""
"CZE","Europe & Central Asia","High income","Czech Republic",""
"HKG","East Asia & Pacific","High income","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.","Hong Kong SAR, China"
"KNA","Latin America & Caribbean","High income","St. Kitts and Nevis",""
"CUW","Latin America & Caribbean","High income","Curaçao",""
"LKA","South Asia","Upper middle income","Sri Lanka",""
"MNP","East Asia & Pacific","High income","Northern Mariana Islands",""
"LBR","Sub-Saharan Africa","Low income","Pre-2000 data will be revised further for consistency and quality purpose.","Liberia"
"SVK","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Slovak Republic"
"FRO","Europe & Central Asia","High income","Faroe Islands",""
"FJI","East Asia & Pacific","Upper middle income","Fiji",""
"MDG","Sub-Saharan Africa","Low income","Madagascar",""
"BGD","South Asia","Lower middle income","Fiscal year end: June 30; reporting period for national accounts data: FY.","Bangladesh"
"SXM","Latin America & Caribbean","High income","Sint Maarten (Dutch part)",""
"SDN","Sub-Saharan Africa","Lower middle income","Sudan",""
"MDV","South Asia","Upper middle income","Maldives",""
"AUS","East Asia & Pacific","High income","Fiscal year end: June 30; reporting period for national accounts data: FY.","Australia"
"ETH","Sub-Saharan Africa","Low income","Fiscal year end: July 7; reporting period for national accounts data: FY.","Ethiopia"
"GUM","East Asia & Pacific","High income","Guam",""
"PYF","East Asia & Pacific","High income","French Polynesia",""
"VUT","East Asia & Pacific","Lower middle income","Vanuatu",""
"DJI","Middle East & North Africa","Lower middle income","Djibouti",""
"GNB","Sub-Saharan Africa","Low income","Guinea-Bissau",""
"UGA","Sub-Saharan Africa","Low income","Fiscal year end: June 30; reporting period for national accounts data: FY.","Uganda"
"LBN","Middle East & North Africa","Upper middle income","Lebanon",""
"EST","Europe & Central Asia","High income","The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Estonia"
"PRK","East Asia & Pacific","Low income","Korea, Dem. People's Rep.",""
"NGA","Sub-Saharan Africa","Lower middle income","Nigeria",""
"SSD","Sub-Saharan Africa","Low income","South Sudan",""
"CAN","North America","High income","Fiscal year end: March 31; reporting period for national accounts data: CY.","Canada"
"BDI","Sub-Saharan Africa","Low income","Burundi",""
"ASM","East Asia & Pacific","Upper middle income","American Samoa",""
"DNK","Europe & Central Asia","High income","Denmark",""
"MLI","Sub-Saharan Africa","Low income","Mali",""
"IRL","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Ireland"
"LCA","Latin America & Caribbean","Upper middle income","St. Lucia",""
"DZA","Middle East & North Africa","Upper middle income","Algeria",""
"WSM","East Asia & Pacific","Upper middle income","Fiscal year ends on June 30; reporting period for national accounts data: FY.","Samoa"
"NER","Sub-Saharan Africa","Low income","Niger",""
"SLB","East Asia & Pacific","Lower middle income","Solomon Islands",""
"ATG","Latin America & Caribbean","High income","Antigua and Barbuda",""
"TLS","East Asia & Pacific","Lower middle income","Timor-Leste",""
"POL","Europe & Central Asia","High income","Poland",""
"AGO","Sub-Saharan Africa","Lower middle income","Angola",""
"IRN","Middle East & North Africa","Upper middle income","Fiscal year end: March 20; reporting period for national accounts data: FY.","Iran, Islamic Rep."
"HUN","Europe & Central Asia","High income","Hungary",""
"BEN","Sub-Saharan Africa","Low income","Benin",""
"LIE","Europe & Central Asia","High income","Liechtenstein",""
"ZMB","Sub-Saharan Africa","Lower middle income","National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha.","Zambia"
"CYP","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Cyprus"
"ESP","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Spain"
"FRA","Europe & Central Asia","High income","The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","France"
"LVA","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.","Latvia"
"CAF","Sub-Saharan Africa","Low income","Central African Republic",""
"IMN","Europe & Central Asia","High income","Isle of Man",""
"BMU","North America","High income","Bermuda",""
"COG","Sub-Saharan Africa","Lower middle income","Congo, Rep.",""
"EGY","Middle East & North Africa","Lower middle income","Egypt, Arab Rep.",""
"GUY","Latin America & Caribbean","Upper middle income","Guyana",""
"CUB","Latin America & Caribbean","Upper middle income","Cuba",""
"PAN","Latin America & Caribbean","High income","Panama",""
"BOL","Latin America & Caribbean","Lower middle income","Bolivia",""
"GTM","Latin America & Caribbean","Upper middle income","Guatemala",""
"BGR","Europe & Central Asia","Upper middle income","Bulgaria",""
"PNG","East Asia & Pacific","Lower middle income","Papua New Guinea",""
"CPV","Sub-Saharan Africa","Lower middle income","Cabo Verde",""
"MMR","East Asia & Pacific","Lower middle income","Fiscal year end: March 31; reporting period for national accounts data: FY.","Myanmar"
"TUN","Middle East & North Africa","Lower middle income","Tunisia",""
"GNQ","Sub-Saharan Africa","Upper middle income","Equatorial Guinea",""
"LBY","Middle East & North Africa","Upper middle income","Libya",""
"NZL","East Asia & Pacific","High income","Fiscal year end: March 31; reporting period for national accounts data: CY.","New Zealand"
"BWA","Sub-Saharan Africa","Upper middle income","Botswana",""
"TTO","Latin America & Caribbean","High income","Trinidad and Tobago",""
"SVN","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Slovenia"
"HTI","Latin America & Caribbean","Low income","Fiscal year end: September 30; reporting period for national accounts data: FY.","Haiti"
"ALB","Europe & Central Asia","Upper middle income","Albania",""
"KGZ","Europe & Central Asia","Lower middle income","Kyrgyz Republic",""
"BEL","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Belgium"
"KEN","Sub-Saharan Africa","Lower middle income","Fiscal year end: June 30; reporting period for national accounts data: CY.","Kenya"
"SWE","Europe & Central Asia","High income","Fiscal year end: June 30; reporting period for national accounts data: CY.","Sweden"
"PHL","East Asia & Pacific","Lower middle income","Philippines",""
"FSM","East Asia & Pacific","Lower middle income","Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised.","Micronesia, Fed. Sts."
"MHL","East Asia & Pacific","Upper middle income","Fiscal year ends on September 30; reporting period for national accounts data: FY.","Marshall Islands"
"GBR","Europe & Central Asia","High income","United Kingdom",""
"RUS","Europe & Central Asia","Upper middle income","Russian Federation",""
"ITA","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Italy"
"BRN","East Asia & Pacific","High income","Brunei Darussalam",""
"IDN","East Asia & Pacific","Lower middle income","Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.","Indonesia"
"SEN","Sub-Saharan Africa","Lower middle income","Senegal",""
"BIH","Europe & Central Asia","Upper middle income","Bosnia and Herzegovina",""
"TUV","East Asia & Pacific","Upper middle income","Tuvalu",""
"CIV","Sub-Saharan Africa","Lower middle income","Côte d'Ivoire",""
"TUR","Europe & Central Asia","Upper middle income","Turkey",""
"VEN","Latin America & Caribbean","Upper middle income","Venezuela, RB",""
"ARM","Europe & Central Asia","Upper middle income","Armenia",""
"SMR","Europe & Central Asia","High income","San Marino",""
"SGP","East Asia & Pacific","High income","Fiscal year end: March 31; reporting period for national accounts data: CY.","Singapore"
"CRI","Latin America & Caribbean","Upper middle income","Costa Rica",""
"MDA","Europe & Central Asia","Lower middle income","Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova.","Moldova"
"CHE","Europe & Central Asia","High income","Switzerland",""
