id,city_id,city_name,state,clinical,clinical_sus,icu,icu_sus,kind,organization
0000027,260290,Cabo de Santo Agostinho,PE,56,0,0,0,HOSPITAL GERAL,SOCIEDADE EMPRESARIA LIMITADA
0000035,260290,Cabo de Santo Agostinho,PE,38,38,0,0,HOSPITAL GERAL,MUNICIPIO
0000094,260290,Cabo de Santo Agostinho,PE,13,13,0,0,HOSPITAL ESPECIALIZADO,MUNICIPIO
0000183,260290,Cabo de Santo Agostinho,PE,49,0,5,0,HOSPITAL GERAL,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESARIA)
0000221,260290,Cabo de Santo Agostinho,PE,33,0,0,0,HOSPITAL GERAL,SOCIEDADE EMPRESARIA LIMITADA
0000396,261160,Recife,PE,288,288,32,27,HOSPITAL GERAL,AUTARQUIA FEDERAL
0000418,261160,Recife,PE,236,236,82,82,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0000426,261160,Recife,PE,546,546,60,40,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0000434,261160,Recife,PE,773,773,174,174,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0000477,261160,Recife,PE,334,334,75,65,HOSPITAL GERAL,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
0000485,261160,Recife,PE,12,12,0,0,HOSPITAL ESPECIALIZADO,FUNDACAO PRIVADA
0000566,261160,Recife,PE,155,112,38,22,HOSPITAL GERAL,FUNDACAO PRIVADA
0000582,261160,Recife,PE,207,207,37,37,HOSPITAL ESPECIALIZADO,ASSOCIACAO PRIVADA
0000655,261160,Recife,PE,769,769,61,53,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0000671,261160,Recife,PE,12,12,10,1,HOSPITAL GERAL,MUNICIPIO
0000701,261160,Recife,PE,11,11,0,0,HOSPITAL GERAL,MUNICIPIO
0000809,261160,Recife,PE,59,59,4,4,HOSPITAL ESPECIALIZADO,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
0000981,261160,Recife,PE,66,66,12,12,HOSPITAL GERAL,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
0001015,261160,Recife,PE,50,50,0,0,HOSPITAL ESPECIALIZADO,MUNICIPIO
0001120,261160,Recife,PE,512,120,177,28,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0001465,261160,Recife,PE,1,0,0,0,HOSPITAL ESPECIALIZADO,SOCIEDADE EMPRESARIA LIMITADA
0001546,261160,Recife,PE,115,115,4,4,HOSPITAL ESPECIALIZADO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0001953,261160,Recife,PE,8,8,0,0,CENTRO DE ATENCAO PSICOSSOCIAL,MUNICIPIO
0001996,261160,Recife,PE,7,7,0,0,CENTRO DE ATENCAO PSICOSSOCIAL,MUNICIPIO
0002054,261160,Recife,PE,6,6,0,0,CENTRO DE ATENCAO PSICOSSOCIAL,MUNICIPIO
0002232,280030,Aracaju,SE,80,67,77,77,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0002275,280030,Aracaju,SE,94,66,7,6,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0002283,280030,Aracaju,SE,319,283,51,38,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0002372,280030,Aracaju,SE,15,15,0,0,PRONTO SOCORRO GERAL,ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL
0002534,280030,Aracaju,SE,110,110,6,6,HOSPITAL GERAL,EMPRESA PUBLICA
0002585,280030,Aracaju,SE,110,12,32,9,HOSPITAL GERAL,SOCIEDADE ANONIMA FECHADA
0002593,280030,Aracaju,SE,43,0,20,0,HOSPITAL ESPECIALIZADO,SOCIEDADE EMPRESARIA LIMITADA
0003077,280030,Aracaju,SE,58,0,0,0,HOSPITAL GERAL,ESTADO OU DISTRITO FEDERAL
0003085,280030,Aracaju,SE,140,80,0,0,HOSPITAL ESPECIALIZADO,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESARIA)
0003158,280030,Aracaju,SE,8,8,0,0,CENTRO DE ATENCAO PSICOSSOCIAL,ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL
0003417,280030,Aracaju,SE,5,5,0,0,HOSPITAL ESPECIALIZADO,FUNDACAO PRIVADA
0003581,280030,Aracaju,SE,1,1,0,0,HOSPITAL/DIA - ISOLADO,SOCIEDADE EMPRESARIA LIMITADA
0003778,292740,Salvador,BA,139,139,12,12,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0003786,292740,Salvador,BA,235,235,20,10,HOSPITAL ESPECIALIZADO,ASSOCIACAO PRIVADA
0003794,292740,Salvador,BA,12,12,14,14,HOSPITAL ESPECIALIZADO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0003808,292740,Salvador,BA,214,39,71,19,HOSPITAL GERAL,SOCIEDADE ANONIMA FECHADA
0003816,292740,Salvador,BA,248,248,28,17,HOSPITAL GERAL,AUTARQUIA FEDERAL
0003832,292740,Salvador,BA,373,116,81,24,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0003840,292740,Salvador,BA,15,15,16,16,HOSPITAL ESPECIALIZADO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0003859,292740,Salvador,BA,477,477,184,149,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0003875,292740,Salvador,BA,206,206,49,49,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0003921,292740,Salvador,BA,0,0,0,0,CLINICA/CENTRO DE ESPECIALIDADE,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0003972,292740,Salvador,BA,2,2,1,1,UNIDADE MISTA,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0003980,292740,Salvador,BA,144,144,15,15,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0004065,292740,Salvador,BA,91,91,27,27,HOSPITAL ESPECIALIZADO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0004073,292740,Salvador,BA,135,135,35,35,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0004170,292740,Salvador,BA,18,18,18,18,HOSPITAL ESPECIALIZADO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0004251,292740,Salvador,BA,211,30,133,9,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0004278,292740,Salvador,BA,330,330,32,32,HOSPITAL ESPECIALIZADO,ASSOCIACAO PRIVADA
0004286,292740,Salvador,BA,178,178,0,0,HOSPITAL ESPECIALIZADO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0004294,292740,Salvador,BA,313,313,94,94,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0004472,292740,Salvador,BA,100,0,0,0,HOSPITAL ESPECIALIZADO,SOCIEDADE EMPRESARIA LIMITADA
0004502,292740,Salvador,BA,4,0,2,0,HOSPITAL ESPECIALIZADO,SOCIEDADE SIMPLES LIMITADA
0004731,292740,Salvador,BA,4,4,25,25,HOSPITAL ESPECIALIZADO,AUTARQUIA FEDERAL
0004960,292740,Salvador,BA,24,13,0,0,HOSPITAL ESPECIALIZADO,FUNDACAO PRIVADA
0004979,292740,Salvador,BA,64,25,10,5,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0004987,292740,Salvador,BA,84,84,0,0,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0005134,292740,Salvador,BA,0,0,0,0,HOSPITAL/DIA - ISOLADO,ASSOCIACAO PRIVADA
0005428,292740,Salvador,BA,73,73,44,24,HOSPITAL ESPECIALIZADO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0005436,292740,Salvador,BA,30,30,0,0,HOSPITAL ESPECIALIZADO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0006157,292740,Salvador,BA,22,14,0,0,HOSPITAL ESPECIALIZADO,ASSOCIACAO PRIVADA
0006483,292740,Salvador,BA,0,0,0,0,HOSPITAL/DIA - ISOLADO,SOCIEDADE SIMPLES LIMITADA
0006564,292740,Salvador,BA,0,0,0,0,UNIDADE MISTA,ORGANIZACAO RELIGIOSA
0006688,292740,Salvador,BA,0,0,0,0,CLINICA/CENTRO DE ESPECIALIDADE,SOCIEDADE EMPRESARIA LIMITADA
0007382,292740,Salvador,BA,11,0,0,0,HOSPITAL GERAL,SOCIEDADE EMPRESARIA LIMITADA
0007471,292740,Salvador,BA,12,0,0,0,HOSPITAL ESPECIALIZADO,SOCIEDADE EMPRESARIA LIMITADA
0007641,150240,Castanhal,PA,110,99,10,6,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0007684,150240,Castanhal,PA,93,66,25,19,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0007714,150240,Castanhal,PA,45,0,0,0,HOSPITAL ESPECIALIZADO,SOCIEDADE EMPRESARIA LIMITADA
0007862,150240,Castanhal,PA,5,5,0,0,CENTRO DE ATENCAO PSICOSSOCIAL,MUNICIPIO
0008028,353440,Osasco,SP,165,159,28,12,HOSPITAL GERAL,MUNICIPIO
0008036,353440,Osasco,SP,61,61,41,33,HOSPITAL ESPECIALIZADO,MUNICIPIO
0008052,353440,Osasco,SP,188,188,40,10,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0008087,353440,Osasco,SP,17,17,0,0,PRONTO SOCORRO GERAL,MUNICIPIO
0008141,353440,Osasco,SP,12,12,0,0,PRONTO SOCORRO GERAL,MUNICIPIO
0008494,354780,Santo André,SP,31,31,1,1,PRONTO ATENDIMENTO,MUNICIPIO
0008516,354780,Santo André,SP,7,7,0,0,CENTRO DE ATENCAO PSICOSSOCIAL,MUNICIPIO
0008729,354780,Santo André,SP,8,8,0,0,CENTRO DE ATENCAO PSICOSSOCIAL,MUNICIPIO
0008923,354780,Santo André,SP,242,242,41,41,HOSPITAL GERAL,MUNICIPIO
0009008,354990,São José dos Campos,SP,18,18,0,0,PRONTO SOCORRO ESPECIALIZADO,MUNICIPIO
0009164,354990,São José dos Campos,SP,1,1,0,0,UNIDADE MISTA,MUNICIPIO
0009539,354990,São José dos Campos,SP,29,0,22,0,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0009601,354990,São José dos Campos,SP,70,53,13,12,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0009628,354990,São José dos Campos,SP,207,207,76,76,HOSPITAL GERAL,MUNICIPIO
0009636,354990,São José dos Campos,SP,174,0,0,0,HOSPITAL ESPECIALIZADO,ASSOCIACAO PRIVADA
0009695,354990,São José dos Campos,SP,0,0,0,0,HOSPITAL/DIA - ISOLADO,MUNICIPIO
0009709,500270,Campo Grande,MS,123,123,44,33,HOSPITAL GERAL,EMPRESA PUBLICA
0009717,500270,Campo Grande,MS,510,423,109,90,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0009725,500270,Campo Grande,MS,240,240,82,82,HOSPITAL GERAL,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
0009733,500270,Campo Grande,MS,102,90,0,0,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0009768,500270,Campo Grande,MS,56,33,40,34,HOSPITAL ESPECIALIZADO,ASSOCIACAO PRIVADA
0009776,500270,Campo Grande,MS,37,33,10,4,HOSPITAL ESPECIALIZADO,FUNDACAO PRIVADA
0009784,500270,Campo Grande,MS,20,0,7,0,HOSPITAL GERAL,SOCIEDADE SIMPLES PURA
0009792,500270,Campo Grande,MS,136,56,0,0,HOSPITAL ESPECIALIZADO,ASSOCIACAO PRIVADA
